module,start,events,times
ACM30030,04:07.8,"['START', 'JOIN', 'FINISH']","[0, 0, 3813]"
MATH20320,06:46.3,"['START', 'JOIN', 'FINISH']","[0, 0, 3460]"
MST10030,29:12.2,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 2313]"
ACM10060,47:50.3,"['START', 'JOIN', 'FINISH']","[0, 0, 1069]"
EEEN30150,56:28.4,"['FINISH', 'START', 'JOIN']","[397, 0, 0]"
MATH10350,01:44.2,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 352]"
MST10030,06:25.7,"['START', 'JOIN', 'FINISH']","[0, 0, 3867]"
MATH10240,12:15.0,"['START', 'JOIN', 'FINISH']","[0, 0, 3592]"
ACM10060,22:00.9,"['START', 'JOIN', 'FINISH']","[0, 0, 747]"
ECON10020,36:03.2,"['START', 'JOIN', 'FINISH']","[0, 0, 1299]"
MATH10260,36:15.2,"['START', 'JOIN', 'FINISH']","[0, 0, 1866]"
MATH10350,59:26.1,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 3796]"
MATH10220,10:31.9,"['START', 'JOIN', 'FINISH']","[0, 0, 4242]"
ACM10060,12:48.0,"['START', 'JOIN', 'FINISH']","[0, 0, 944]"
ACM10060,29:07.1,"['START', 'JOIN', 'FINISH']","[0, 0, 1745]"
STAT10060,58:34.2,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 466, 1767]"
STAT10060,56:27.8,"['START', 'JOIN', 'FINISH']","[0, 0, 109]"
GEOG30270,02:41.5,"['START', 'JOIN', 'FINISH']","[0, 0, 3780]"
MST10030,36:36.9,"['START', 'JOIN', 'FINISH']","[0, 0, 1828]"
MATH10220,02:51.3,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 2144]"
ACM10060,31:19.5,"['START', 'JOIN', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 0, 1359]"
STAT20060,40:33.4,"['START', 'JOIN', 'FINISH']","[0, 0, 1166]"
STAT10060,57:11.5,"['START', 'JOIN', 'LEAVE', 'JOIN', 'FINISH']","[0, 0, 639, 655, 699]"
MST10030,01:14.9,"['START', 'JOIN', 'FINISH']","[0, 0, 741]"
MST10030,01:23.5,"['START', 'JOIN', 'FINISH']","[0, 0, 2157]"
ACM10060,10:36.6,"['START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 0, 0, 0, 815]"
ADEDEX428,00:05.9,"['START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 0, 0, 0, 2116, 5346]"
MATH10260,00:28.2,"['START', 'JOIN', 'FINISH']","[0, 0, 119]"
ACM10060,03:09.0,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 127]"
MST10030,23:28.9,"['START', 'JOIN', 'FINISH']","[0, 0, 60]"
MATH20260,01:34.2,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 3029, 3036]"
ACM10060,03:32.0,"['START', 'JOIN', 'FINISH']","[0, 0, 1704]"
MATH10240,05:26.8,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 951]"
MATH10240,22:20.6,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 6]"
ACM10060,22:47.4,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 1506, 1781]"
MATH10240,25:32.0,"['START', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 0, 991, 998]"
MATH10350,26:36.5,"['START', 'JOIN', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 0, 0, 1537, 1540]"
SBUS10050,39:35.9,"['START', 'JOIN', 'FINISH']","[0, 0, 799]"
MATH10350,56:36.7,"['START', 'JOIN', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 0, 0, 4860, 5313]"
ACM10060,57:38.6,"['START', 'JOIN', 'TRANSFER', 'TRANSFER', 'TRANSFER', 'FINISH']","[0, 0, 3826, 5244, 5275, 5278]"
MATH10350,10:24.3,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 4459, 4635]"
