times,year,month,date,academic_year,semester,week,weekday,hour,events,subject,student_level,number_of_tutors,duration_s,duration_m
"[0, 1521]",2015,2,10,2014/2015,2,2,2,14,"['START', 'FINISH']",STAT,1,4,1521,25
"[0, 78]",2015,2,10,2014/2015,2,2,2,15,"['START', 'FINISH']",PHYC,1,4,78,1
"[0, 1852]",2015,2,11,2014/2015,2,2,3,10,"['START', 'FINISH']",PHYC,1,2,1852,30
"[0, 1127]",2015,2,11,2014/2015,2,2,3,10,"['START', 'FINISH']",MATH,1,2,1127,18
"[0, 1198]",2015,2,11,2014/2015,2,2,3,11,"['START', 'FINISH']",STAT,1,2,1198,19
"[0, 1803]",2015,2,11,2014/2015,2,2,3,11,"['START', 'FINISH']",MATH,1,2,1803,30
"[0, 1022]",2015,2,11,2014/2015,2,2,3,11,"['START', 'FINISH']",MST,1,2,1022,17
"[0, 54]",2015,2,11,2014/2015,2,2,3,12,"['START', 'FINISH']",PHYC,1,2,54,0
"[0, 13710, 13716]",2015,2,11,2014/2015,2,2,3,12,"['START', 'TRANSFER', 'FINISH']",MST,2,2,6,0
"[0, 2123]",2015,2,11,2014/2015,2,2,3,12,"['START', 'FINISH']",MATH,1,2,2123,35
"[0, 11466, 11470, 11476]",2015,2,11,2014/2015,2,2,3,12,"['START', 'TRANSFER', 'LEAVE', 'FINISH']",MATH,1,2,10,0
"[0, 68]",2015,2,11,2014/2015,2,2,3,13,"['START', 'FINISH']",MATH,1,1,68,1
"[0, 1681]",2015,2,11,2014/2015,2,2,3,14,"['START', 'FINISH']",MATH,1,2,1681,28
"[0, 1035]",2015,2,11,2014/2015,2,2,3,14,"['START', 'FINISH']",STAT,1,2,1035,17
"[0, 968]",2015,2,11,2014/2015,2,2,3,15,"['START', 'FINISH']",MST,1,3,968,16
"[0, 3550]",2015,2,11,2014/2015,2,2,3,15,"['START', 'TRANSFER']",MATH,1,3,-3550,-60
"[0, 685]",2015,2,11,2014/2015,2,2,3,15,"['START', 'FINISH']",MATH,2,3,685,11
"[0, 203, 409]",2015,2,11,2014/2015,2,2,3,15,"['START', 'TRANSFER', 'FINISH']",ECON,2,3,206,3
[0],2015,2,11,2014/2015,2,2,3,16,['START'],MATH,1,3,0,0
"[0, 1247]",2015,2,12,2014/2015,2,2,4,10,"['START', 'FINISH']",STAT,1,3,1247,20
"[0, 647]",2015,2,12,2014/2015,2,2,4,11,"['START', 'FINISH']",MATH,1,3,647,10
"[0, 39]",2015,2,12,2014/2015,2,2,4,11,"['START', 'FINISH']",ACM,1,3,39,0
"[0, 255]",2015,2,12,2014/2015,2,2,4,11,"['START', 'FINISH']",PHYC,1,3,255,4
"[0, 3007]",2015,2,12,2014/2015,2,2,4,11,"['START', 'FINISH']",MATH,1,3,3007,50
"[0, 2358, 7907]",2015,2,12,2014/2015,2,2,4,11,"['START', 'TRANSFER', 'FINISH']",PHYC,1,3,5549,92
"[0, 1877]",2015,2,12,2014/2015,2,2,4,11,"['START', 'FINISH']",MST,1,3,1877,31
"[0, 5]",2015,2,12,2014/2015,2,2,4,12,"['START', 'FINISH']",MST,1,3,5,0
"[0, 1977]",2015,2,12,2014/2015,2,2,4,12,"['START', 'FINISH']",MATH,1,3,1977,32
"[0, 3001, 3197]",2015,2,12,2014/2015,2,2,4,12,"['START', 'TRANSFER', 'FINISH']",MATH,1,3,196,3
"[0, 3480, 3708]",2015,2,12,2014/2015,2,2,4,13,"['START', 'TRANSFER', 'FINISH']",MATH,1,1,228,3
"[0, 2630]",2015,2,12,2014/2015,2,2,4,14,"['START', 'FINISH']",STAT,1,2,2630,43
"[0, 1878]",2015,2,12,2014/2015,2,2,4,14,"['START', 'FINISH']",STAT,1,2,1878,31
"[0, 844, 2256]",2015,2,12,2014/2015,2,2,4,14,"['START', 'TRANSFER', 'FINISH']",MST,2,2,1412,23
"[0, 6]",2015,2,12,2014/2015,2,2,4,14,"['START', 'FINISH']",ECON,2,2,6,0
"[0, 4139]",2015,2,12,2014/2015,2,2,4,15,"['START', 'FINISH']",STAT,2,4,4139,68
"[0, 4418, 4425]",2015,2,12,2014/2015,2,2,4,15,"['START', 'TRANSFER', 'FINISH']",MST,1,4,7,0
"[59, 0]",2015,2,12,2014/2015,2,2,4,15,"['FINISH', 'START']",PHYC,1,4,59,0
"[0, 212]",2015,2,13,2014/2015,2,2,5,10,"['START', 'FINISH']",STAT,2,2,212,3
"[0, 447]",2015,2,13,2014/2015,2,2,5,10,"['START', 'FINISH']",STAT,1,2,447,7
"[0, 1514, 3009]",2015,2,13,2014/2015,2,2,5,11,"['START', 'START', 'FINISH']",MATH,1,2,,
"[0, 2290]",2015,2,13,2014/2015,2,2,5,11,"['START', 'FINISH']",MATH,1,2,2290,38
"[0, 1570]",2015,2,13,2014/2015,2,2,5,11,"['START', 'FINISH']",SBUS,1,2,1570,26
"[0, 4413]",2015,2,13,2014/2015,2,2,5,11,"['START', 'FINISH']",ECON,2,2,4413,73
"[0, 1728]",2015,2,13,2014/2015,2,2,5,12,"['START', 'FINISH']",PHYC,1,2,1728,28
"[0, 2099]",2015,2,13,2014/2015,2,2,5,12,"['START', 'FINISH']",MATH,1,2,2099,34
"[0, 1561]",2015,2,13,2014/2015,2,2,5,12,"['START', 'FINISH']",MATH,1,2,1561,26
"[0, 1584]",2015,2,16,2014/2015,2,3,1,10,"['START', 'FINISH']",MATH,1,3,1584,26
"[0, 1072]",2015,2,16,2014/2015,2,3,1,10,"['START', 'FINISH']",MATH,1,3,1072,17
"[0, 344, 2018]",2015,2,16,2014/2015,2,3,1,10,"['START', 'TRANSFER', 'FINISH']",STAT,1,3,1674,27
"[0, 2548]",2015,2,16,2014/2015,2,3,1,10,"['START', 'FINISH']",ECON,2,3,2548,42
"[0, 1948]",2015,2,16,2014/2015,2,3,1,10,"['START', 'FINISH']",MST,1,3,1948,32
"[1311, 0]",2015,2,16,2014/2015,2,3,1,11,"['FINISH', 'START']",MATH,1,3,1311,21
"[9379, 9382, 0]",2015,2,16,2014/2015,2,3,1,11,"['TRANSFER', 'FINISH', 'START']",MATH,1,3,3,0
"[2257, 8091, 0]",2015,2,16,2014/2015,2,3,1,11,"['TRANSFER', 'FINISH', 'START']",MATH,1,3,5834,97
"[863, 2773, 0]",2015,2,16,2014/2015,2,3,1,11,"['TRANSFER', 'FINISH', 'START']",SBUS,1,3,1910,31
"[0, 579]",2015,2,16,2014/2015,2,3,1,11,"['START', 'FINISH']",MATH,1,3,579,9
"[0, 2167]",2015,2,16,2014/2015,2,3,1,11,"['START', 'FINISH']",ECON,2,3,2167,36
"[0, 870]",2015,2,16,2014/2015,2,3,1,12,"['START', 'FINISH']",ECON,2,3,870,14
"[0, 2290]",2015,2,16,2014/2015,2,3,1,12,"['START', 'FINISH']",PHYC,1,3,2290,38
"[0, 132]",2015,2,16,2014/2015,2,3,1,13,"['START', 'FINISH']",ECON,2,1,132,2
"[0, 1794, 4143]",2015,2,16,2014/2015,2,3,1,13,"['START', 'TRANSFER', 'FINISH']",MATH,1,1,2349,39
"[0, 7213, 7219]",2015,2,16,2014/2015,2,3,1,13,"['START', 'TRANSFER', 'FINISH']",MATH,1,1,6,0
"[0, 681]",2015,2,16,2014/2015,2,3,1,13,"['START', 'FINISH']",MST,1,1,681,11
"[0, 1924]",2015,2,16,2014/2015,2,3,1,14,"['START', 'FINISH']",STAT,2,3,1924,32
"[0, 268, 317, 2601, 5563, 2602]",2015,2,16,2014/2015,2,3,1,14,"['START', 'START', 'LEAVE', 'START', 'FINISH', 'START']",MATH,1,3,,
"[0, 1825, 2728, 2741]",2015,2,16,2014/2015,2,3,1,14,"['START', 'TRANSFER', 'TRANSFER', 'FINISH']",STAT,1,3,13,0
"[1609, 0]",2015,2,16,2014/2015,2,3,1,14,"['FINISH', 'START']",STAT,1,3,1609,26
"[0, 66]",2015,2,16,2014/2015,2,3,1,15,"['START', 'FINISH']",MATH,1,4,66,1
"[83, 0]",2015,2,16,2014/2015,2,3,1,15,"['FINISH', 'START']",MATH,1,4,83,1
