times,year,month,date,academic_year,semester,week,weekday,hour,events,subject,student_level,number_of_tutors
"[0, 0, 1464]",2015,2,17,2014/2015,2,3,2,11,"['START', 'JOIN', 'FINISH']",MST,1,4
"[0, 0, 3994, 5891]",2015,2,17,2014/2015,2,3,2,11,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,4
"[0, 0, 630]",2015,2,17,2014/2015,2,3,2,12,"['START', 'JOIN', 'FINISH']",ACM,2,3
"[0, 0, 38]",2015,2,17,2014/2015,2,3,2,12,"['START', 'JOIN', 'FINISH']",ACM,1,3
"[0, 0, 1553]",2015,2,17,2014/2015,2,3,2,12,"['START', 'JOIN', 'FINISH']",POL,2,3
"[0, 0, 1456, 1461]",2015,2,17,2014/2015,2,3,2,12,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,3
"[0, 0, 186]",2015,2,17,2014/2015,2,3,2,12,"['START', 'JOIN', 'FINISH']",POL,2,3
"[0, 0, 1752, 2158]",2015,2,17,2014/2015,2,3,2,12,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,3
"[0, 0, 986, 982]",2015,2,17,2014/2015,2,3,2,14,"['START', 'JOIN', 'FINISH', 'LEAVE']",MST,1,4
"[0, 0, 16]",2015,2,17,2014/2015,2,3,2,14,"['START', 'JOIN', 'FINISH']",MATH,1,4
"[0, 0, 2403, 22]",2015,2,17,2014/2015,2,3,2,14,"['START', 'JOIN', 'FINISH', 'JOIN']",STAT,1,4
"[0, 0, 1676]",2015,2,17,2014/2015,2,3,2,16,"['START', 'JOIN', 'FINISH']",ACM,1,2
"[0, 0]",2015,2,17,2014/2015,2,3,2,16,"['START', 'JOIN']",MEEN,2,2
"[1902, 0, 0, 0]",2015,2,18,2014/2015,2,3,3,10,"['FINISH', 'START', 'JOIN', 'JOIN']",MATH,2,2
"[0, 0, 872]",2015,2,18,2014/2015,2,3,3,10,"['START', 'JOIN', 'FINISH']",MST,1,2
"[2704, 2716, 0, 0]",2015,2,18,2014/2015,2,3,3,10,"['TRANSFER', 'FINISH', 'START', 'JOIN']",MATH,2,2
"[0, 0, 4777]",2015,2,18,2014/2015,2,3,3,10,"['START', 'JOIN', 'FINISH']",ACM,1,2
"[0, 0, 1534, 8208, 8218]",2015,2,18,2014/2015,2,3,3,11,"['START', 'JOIN', 'TRANSFER', 'TRANSFER', 'FINISH']",MATH,1,2
"[0, 0, 7778]",2015,2,18,2014/2015,2,3,3,11,"['START', 'JOIN', 'FINISH']",MATH,2,2
"[0, 0, 1012]",2015,2,18,2014/2015,2,3,3,11,"['START', 'JOIN', 'FINISH']",ECON,1,2
"[0, 0, 2613, 2625]",2015,2,18,2014/2015,2,3,3,12,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MST,1,2
"[0, 0, 2384]",2015,2,18,2014/2015,2,3,3,12,"['START', 'JOIN', 'FINISH']",MATH,1,2
"[0, 0, 1580]",2015,2,18,2014/2015,2,3,3,13,"['START', 'JOIN', 'FINISH']",ACM,1,1
"[0, 0, 2803]",2015,2,18,2014/2015,2,3,3,13,"['START', 'JOIN', 'FINISH']",MATH,2,1
"[0, 0, 2861, 3759]",2015,2,18,2014/2015,2,3,3,14,"['START', 'JOIN', 'TRANSFER', 'FINISH']",STAT,1,2
"[0, 0, 7279]",2015,2,18,2014/2015,2,3,3,15,"['START', 'JOIN', 'FINISH']",MATH,1,3
"[0, 0, 1885, 6680, 6685]",2015,2,18,2014/2015,2,3,3,15,"['START', 'JOIN', 'TRANSFER', 'TRANSFER', 'FINISH']",STAT,1,3
"[0, 0, 2547]",2015,2,18,2014/2015,2,3,3,16,"['START', 'JOIN', 'FINISH']",MATH,1,3
"[0, 0]",2015,2,18,2014/2015,2,3,3,16,"['START', 'JOIN']",ECON,1,3
"[10434, 0, 0]",2015,2,19,2014/2015,2,3,4,10,"['FINISH', 'START', 'JOIN']",ACM,1,3
"[0, 0, 1572]",2015,2,19,2014/2015,2,3,4,11,"['START', 'JOIN', 'FINISH']",MATH,1,3
"[7716, 0, 0, 7784]",2015,2,19,2014/2015,2,3,4,11,"['TRANSFER', 'START', 'JOIN', 'FINISH']",ACM,1,3
"[0, 0, 2388]",2015,2,19,2014/2015,2,3,4,11,"['START', 'JOIN', 'FINISH']",MATH,1,3
"[0, 0, 0, 0, 0, 0, 1836, 6405]",2015,2,19,2014/2015,2,3,4,12,"['START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,3
"[0, 0, 671]",2015,2,19,2014/2015,2,3,4,12,"['START', 'JOIN', 'FINISH']",MATH,1,3
"[0, 0, 0, 88]",2015,2,19,2014/2015,2,3,4,14,"['START', 'JOIN', 'JOIN', 'FINISH']",STAT,2,2
"[0, 0, 736]",2015,2,19,2014/2015,2,3,4,14,"['START', 'JOIN', 'FINISH']",STAT,2,2
"[8920, 0, 0, 0, 0, 0, 0, 1788]",2015,2,19,2014/2015,2,3,4,14,"['FINISH', 'START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'LEAVE']",STAT,2,2
"[8899, 0, 0]",2015,2,19,2014/2015,2,3,4,14,"['FINISH', 'START', 'JOIN']",ACM,1,2
